beatriz, sanjorge, 2013-12-18, 2, The Light of Truth, 1.txt,
orhan, corrente, 2013-12-18, 0, The General Post, 223.txt,
barranco, sanjorge, 2014-01-19, 0, The Truth, 240.txt,
corrente, sanjorge, 2014-01-19, 0, The Truth, 240.txt,
corrente, barranco, 2014-01-19, 0, The Truth, 240.txt,
orhan, sanjorge, 2014-01-19, 0, The Truth, 240.txt,
orhan, barranco, 2014-01-19, 0, The Truth, 240.txt,
orhan, corrente, 2014-01-19, 0, The Truth, 240.txt,
vasco, sanjorge, 2014-01-19, 0, The Truth, 240.txt,
vasco, barranco, 2014-01-19, 0, The Truth, 240.txt,
vasco, corrente, 2014-01-19, 0, The Truth, 240.txt,
vasco, orhan, 2014-01-19, 0, The Truth, 240.txt,
barranco, sanjorge, 2014-01-21, 0, The Continent, 245.txt,
corrente, sanjorge, 2014-01-21, 0, The Continent, 245.txt,
corrente, barranco, 2014-01-21, 0, The Continent, 245.txt,
orhan, sanjorge, 2014-01-21, 0, The Continent, 245.txt,
orhan, barranco, 2014-01-21, 0, The Continent, 245.txt,
orhan, corrente, 2014-01-21, 0, The Continent, 245.txt,
vasco, sanjorge, 2014-01-21, 0, The Continent, 245.txt,
vasco, barranco, 2014-01-21, 0, The Continent, 245.txt,
vasco, corrente, 2014-01-21, 0, The Continent, 245.txt,
vasco, orhan, 2014-01-21, 0, The Continent, 245.txt,
beatriz, sanjorge, 2013-12-17, 2, The Tulip, 360.txt,
barranco, sanjorge, 2013-12-17, 3, The Tulip, 360.txt,
barranco, beatriz, 2013-12-17, 1, The Tulip, 360.txt,
corrente, sanjorge, 2013-12-17, 3, The Tulip, 360.txt,
corrente, beatriz, 2013-12-17, 1, The Tulip, 360.txt,
corrente, barranco, 2013-12-17, 0, The Tulip, 360.txt,
orhan, sanjorge, 2013-12-17, 3, The Tulip, 360.txt,
orhan, beatriz, 2013-12-17, 1, The Tulip, 360.txt,
orhan, barranco, 2013-12-17, 0, The Tulip, 360.txt,
orhan, corrente, 2013-12-17, 0, The Tulip, 360.txt,
vasco, sanjorge, 2013-12-17, 3, The Tulip, 360.txt,
vasco, beatriz, 2013-12-17, 1, The Tulip, 360.txt,
vasco, barranco, 2013-12-17, 0, The Tulip, 360.txt,
vasco, corrente, 2013-12-17, 0, The Tulip, 360.txt,
vasco, orhan, 2013-12-17, 0, The Tulip, 360.txt,
barranco, sanjorge, 2013-12-17, 2, Who What News, 375.txt,
corrente, sanjorge, 2013-12-17, 2, Who What News, 375.txt,
corrente, barranco, 2013-12-17, 0, Who What News, 375.txt,
orhan, sanjorge, 2013-12-17, 2, Who What News, 375.txt,
orhan, barranco, 2013-12-17, 0, Who What News, 375.txt,
orhan, corrente, 2013-12-17, 0, Who What News, 375.txt,
barranco, sanjorge, 2014-01-21, 0, World Journal, 396.txt,
corrente, sanjorge, 2014-01-21, 0, World Journal, 396.txt,
corrente, barranco, 2014-01-21, 0, World Journal, 396.txt,
orhan, sanjorge, 2014-01-21, 0, World Journal, 396.txt,
orhan, barranco, 2014-01-21, 0, World Journal, 396.txt,
orhan, corrente, 2014-01-21, 0, World Journal, 396.txt,
vasco, sanjorge, 2014-01-21, 0, World Journal, 396.txt,
vasco, barranco, 2014-01-21, 0, World Journal, 396.txt,
vasco, corrente, 2014-01-21, 0, World Journal, 396.txt,
vasco, orhan, 2014-01-21, 0, World Journal, 396.txt,
corrente, barranco, 2014-01-19, 0, News Online Today, 40.txt,
orhan, barranco, 2014-01-19, 0, News Online Today, 40.txt,
orhan, corrente, 2014-01-19, 0, News Online Today, 40.txt,
vasco, barranco, 2014-01-19, 0, News Online Today, 40.txt,
vasco, corrente, 2014-01-19, 0, News Online Today, 40.txt,
vasco, orhan, 2014-01-19, 0, News Online Today, 40.txt,
arranco, sanjorge, 2014-01-19, 0, International News, 436.txt,
corrente, sanjorge, 2014-01-19, 0, International News, 436.txt,
corrente, barranco, 2014-01-19, 0, International News, 436.txt,
orhan, sanjorge, 2014-01-19, 0, International News, 436.txt,
orhan, barranco, 2014-01-19, 0, International News, 436.txt,
orhan, corrente, 2014-01-19, 0, International News, 436.txt,
vasco, sanjorge, 2014-01-19, 0, International News, 436.txt,
vasco, barranco, 2014-01-19, 0, International News, 436.txt,
vasco, corrente, 2014-01-19, 0, International News, 436.txt,
vasco, orhan, 2014-01-19, 0, International News, 436.txt,
corrente, sanjorge, 2014-01-21, 0, Everyday News, 460.txt,
orhan, sanjorge, 2014-01-21, 0, Everyday News, 460.txt,
orhan, corrente, 2014-01-21, 0, Everyday News, 460.txt,
beatriz, sanjorge, 2003-05-19, 3, The General Post, 493.txt,
barranco, sanjorge, 2014-01-20, 1, News Desk, 525.txt,
corrente, sanjorge, 2014-01-20, 1, News Desk, 525.txt,
corrente, barranco, 2014-01-20, 0, News Desk, 525.txt,
orhan, sanjorge, 2014-01-20, 1, News Desk, 525.txt,
orhan, barranco, 2014-01-20, 0, News Desk, 525.txt,
orhan, corrente, 2014-01-20, 0, News Desk, 525.txt,
vasco, sanjorge, 2014-01-20, 1, News Desk, 525.txt,
vasco, barranco, 2014-01-20, 0, News Desk, 525.txt,
vasco, corrente, 2014-01-20, 0, News Desk, 525.txt,
vasco, orhan, 2014-01-20, 0, News Desk, 525.txt,
beatriz, sanjorge, 2013-12-16, 2, The World, 559.txt,
barranco, sanjorge, 2013-12-16, 3, The World, 559.txt,
barranco, beatriz, 2013-12-16, 1, The World, 559.txt,
corrente, sanjorge, 2013-12-16, 3, The World, 559.txt,
corrente, beatriz, 2013-12-16, 1, The World, 559.txt,
corrente, barranco, 2013-12-16, 0, The World, 559.txt,
orhan, sanjorge, 2013-12-16, 3, The World, 559.txt,
orhan, beatriz, 2013-12-16, 1, The World, 559.txt,
orhan, barranco, 2013-12-16, 0, The World, 559.txt,
orhan, corrente, 2013-12-16, 0, The World, 559.txt,
vasco, sanjorge, 2013-12-16, 3, The World, 559.txt,
vasco, beatriz, 2013-12-16, 1, The World, 559.txt,
vasco, barranco, 2013-12-16, 0, The World, 559.txt,
vasco, corrente, 2013-12-16, 0, The World, 559.txt,
vasco, orhan, 2013-12-16, 0, The World, 559.txt,
barranco, sanjorge, 2014-01-20, 0, Kronos Star, 569.txt,
corrente, sanjorge, 2014-01-20, 0, Kronos Star, 569.txt,
corrente, barranco, 2014-01-20, 0, Kronos Star, 569.txt,
orhan, sanjorge, 2014-01-20, 0, Kronos Star, 569.txt,
orhan, barranco, 2014-01-20, 0, Kronos Star, 569.txt,
orhan, corrente, 2014-01-20, 0, Kronos Star, 569.txt,
vasco, sanjorge, 2014-01-20, 0, Kronos Star, 569.txt,
vasco, barranco, 2014-01-20, 0, Kronos Star, 569.txt,
vasco, corrente, 2014-01-20, 0, Kronos Star, 569.txt,
vasco, orhan, 2014-01-20, 0, Kronos Star, 569.txt,
beatriz, sanjorge, 2003-05-17, 2, The World, 587.txt,
barranco, sanjorge, 2014-01-19, 0, Worldwise, 589.txt,
corrente, sanjorge, 2014-01-19, 0, Worldwise, 589.txt,
corrente, barranco, 2014-01-19, 0, Worldwise, 589.txt,
orhan, sanjorge, 2014-01-19, 0, Worldwise, 589.txt,
orhan, barranco, 2014-01-19, 0, Worldwise, 589.txt,
orhan, corrente, 2014-01-19, 0, Worldwise, 589.txt,
vasco, sanjorge, 2014-01-19, 0, Worldwise, 589.txt,
vasco, barranco, 2014-01-19, 0, Worldwise, 589.txt,
vasco, corrente, 2014-01-19, 0, Worldwise, 589.txt,
vasco, orhan, 2014-01-19, 0, Worldwise, 589.txt,
beatriz, sanjorge, 2003-05-18, 2, Who What News, 59.txt,
corrente, sanjorge, 2014-01-19, 0, The Guide, 614.txt,
orhan, sanjorge, 2014-01-19, 0, The Guide, 614.txt,
orhan, corrente, 2014-01-19, 0, The Guide, 614.txt,
corrente, sanjorge, 2014-01-20, 1, The Explainer, 679.txt,
orhan, sanjorge, 2014-01-20, 1, The Explainer, 679.txt,
orhan, corrente, 2014-01-20, 0, The Explainer, 679.txt,
beatriz, sanjorge, 2003-05-19, 2, The Tulip, 686.txt,
barranco, sanjorge, 2014-01-20, 1, The Abila Post, 713.txt,
corrente, sanjorge, 2014-01-20, 1, The Abila Post, 713.txt,
corrente, barranco, 2014-01-20, 0, The Abila Post, 713.txt,
orhan, sanjorge, 2014-01-20, 1, The Abila Post, 713.txt,
orhan, barranco, 2014-01-20, 0, The Abila Post, 713.txt,
orhan, corrente, 2014-01-20, 0, The Abila Post, 713.txt,
vasco, sanjorge, 2014-01-20, 1, The Abila Post, 713.txt,
vasco, barranco, 2014-01-20, 0, The Abila Post, 713.txt,
vasco, corrente, 2014-01-20, 0, The Abila Post, 713.txt,
vasco, orhan, 2014-01-20, 0, The Abila Post, 713.txt,
barranco, sanjorge, 2014-01-21, 0, World Source, 787.txt,
corrente, sanjorge, 2014-01-21, 0, World Source, 787.txt,
corrente, barranco, 2014-01-21, 0, World Source, 787.txt,
orhan, sanjorge, 2014-01-21, 0, World Source, 787.txt,
orhan, barranco, 2014-01-21, 0, World Source, 787.txt,
orhan, corrente, 2014-01-21, 0, World Source, 787.txt,
vasco, sanjorge, 2014-01-21, 0, World Source, 787.txt,
vasco, barranco, 2014-01-21, 0, World Source, 787.txt,
vasco, corrente, 2014-01-21, 0, World Source, 787.txt,
vasco, orhan, 2014-01-21, 0, World Source, 787.txt,
orhan, sanjorge, 2014-01-20, 0, Modern Rubicon, 827.txt,
vasco, sanjorge, 2014-01-20, 0, Modern Rubicon, 827.txt,
vasco, orhan, 2014-01-20, 0, Modern Rubicon, 827.txt,
barranco, sanjorge, 2014-01-20, 0, The Abila Post, 834.txt,
corrente, sanjorge, 2014-01-20, 0, The Abila Post, 834.txt,
corrente, barranco, 2014-01-20, 0, The Abila Post, 834.txt,
orhan, sanjorge, 2014-01-20, 0, The Abila Post, 834.txt,
orhan, barranco, 2014-01-20, 0, The Abila Post, 834.txt,
orhan, corrente, 2014-01-20, 0, The Abila Post, 834.txt,
vasco, sanjorge, 2014-01-20, 0, The Abila Post, 834.txt,
vasco, barranco, 2014-01-20, 0, The Abila Post, 834.txt,
vasco, corrente, 2014-01-20, 0, The Abila Post, 834.txt,
vasco, orhan, 2014-01-20, 0, The Abila Post, 834.txt,
barranco, sanjorge, 2013-12-16, 0, News Online Today, 86.txt,
corrente, sanjorge, 2013-12-16, 0, News Online Today, 86.txt,
corrente, barranco, 2013-12-16, 0, News Online Today, 86.txt,
orhan, sanjorge, 2013-12-16, 0, News Online Today, 86.txt,
orhan, barranco, 2013-12-16, 0, News Online Today, 86.txt,
orhan, corrente, 2013-12-16, 0, News Online Today, 86.txt
